SOR,DTA,B01,B02,B03,B04,B05,B06,B07,B08,B09,B10,B11,B12,B13,B14,B15,B16,B17,B18,B19,B20,B21,B22,B23,B24,B25
164,30/10/2006,1,1,1,,1,1,,1,,1,1,,,1,1,,,1,,,1,1,1,1,
165,03/11/2006,1,1,,1,,1,,1,1,,,1,1,1,1,,1,1,1,,,1,,,1
166,06/11/2006,,1,1,1,,,,1,1,1,,,1,1,1,,,1,1,1,1,1,1,,
167,09/11/2006,1,1,1,,,1,,1,1,1,,,1,1,,1,,1,1,,,1,1,1,
168,13/11/2006,1,1,1,1,,,1,,,1,,1,,,1,1,1,,1,1,,1,1,1,
169,16/11/2006,1,,,1,1,1,1,1,1,1,1,1,,,1,1,,,,1,1,,,1,
170,21/11/2006,1,,1,1,1,1,1,1,,1,,,1,,,1,,1,,1,,1,1,,1
171,23/11/2006,1,,1,1,,,,,,1,1,1,1,,1,1,1,,,,1,1,1,1,1
172,27/11/2006,1,1,,1,,1,1,,1,1,1,1,1,,,,,1,,1,1,1,,,1
173,30/11/2006,,1,1,1,1,,1,1,,,1,,,,1,,,,1,1,1,1,1,1,1
174,04/12/2006,1,1,,1,,,1,,1,1,1,1,1,,1,,1,,,1,,,1,1,1
175,07/12/2006,,1,1,,1,1,1,,,,1,1,1,1,1,1,,1,1,,1,,,1,
176,11/12/2006,,1,,1,,,,,,1,1,1,1,,1,1,1,1,,,1,1,1,1,1
177,14/12/2006,,1,,,,1,1,1,,1,1,,1,,1,1,1,,1,1,1,,1,1,
178,18/12/2006,,1,1,1,,1,,1,1,1,,,,1,,1,,,1,1,1,,1,1,1
179,21/12/2006,,1,1,1,1,,1,,1,,,,1,1,1,,1,,1,,,1,1,1,1
180,26/12/2006,1,1,1,1,1,1,1,1,,1,1,,,,1,,1,,,1,,,,1,1
181,28/12/2006,1,,,1,1,1,1,1,,,,,,1,1,1,1,,1,1,1,1,1,,
182,02/01/2007,,1,1,1,,,1,1,1,,1,,1,1,,,1,,1,,1,1,1,,1
183,04/01/2007,,1,,1,,1,1,1,,,1,,1,1,,1,,,1,1,1,,1,1,1
184,08/01/2007,1,,1,,,,1,1,1,1,1,,,,1,1,1,1,1,,1,,1,,1
185,11/01/2007,1,1,,1,,1,1,1,1,,1,1,,,1,,1,,1,1,,,1,,1
186,15/01/2007,,1,,1,1,1,,,,,1,1,1,,,1,1,1,1,,,1,1,1,1
187,18/01/2007,1,,1,,,,,,,,1,1,1,,1,1,1,1,1,,1,1,1,1,1
188,22/01/2007,,1,1,,1,,,1,,1,1,,1,,,1,,,1,1,1,1,1,1,1
189,25/01/2007,1,1,,1,1,1,1,,1,,,,1,,,1,,1,1,1,,1,1,1,
190,29/01/2007,1,,1,1,1,,1,1,,,1,,1,1,1,1,,1,1,,,,1,1,
191,01/02/2007,,1,,,1,,,1,1,1,,1,1,,1,,1,1,1,1,1,1,1,,
192,05/02/2007,1,1,1,1,1,1,,,,,1,,1,1,1,1,,,,,1,1,1,1,
193,08/02/2007,1,1,1,1,1,,,1,1,1,,,,1,1,1,,,1,1,1,,,,1
194,12/02/2007,,1,,,,,1,1,1,1,,1,1,1,1,,1,1,,,1,1,1,,1
195,15/02/2007,,1,1,1,,1,1,1,1,,1,1,,1,,,1,1,1,,,1,1,,
196,22/02/2007,,1,1,1,1,,,,,1,,,,1,1,1,1,,1,1,,1,1,1,1
197,26/02/2007,,,1,1,1,1,1,1,1,1,,1,1,,,,,1,,1,1,1,1,,
198,01/03/2007,1,1,,1,1,1,1,,,,,,1,1,1,1,1,1,,1,1,,,,1
199,05/03/2007,1,1,1,1,1,1,,,1,,1,1,,,1,,,,1,1,1,1,1,,
200,08/03/2007,1,1,,1,1,,,1,1,,1,1,1,1,1,1,,,,,1,,1,1,
201,12/03/2007,1,1,,1,1,,,1,1,1,1,1,1,1,1,,,,1,1,,1,,,
202,15/03/2007,1,,1,,1,,,,,1,1,,1,1,,1,1,1,1,,1,1,1,1,
203,19/03/2007,1,1,1,1,1,1,1,,,,,1,1,1,,,1,1,,,,,1,1,1
204,22/03/2007,,1,1,1,1,,1,1,,,1,,,1,1,1,1,,,,,1,1,1,1
205,26/03/2007,,1,1,1,,,,,1,1,1,1,,1,1,1,1,1,,,1,1,,,1
206,29/03/2007,,1,1,,1,,,1,1,,1,1,1,1,1,1,1,,,1,1,1,,,
207,02/04/2007,1,1,1,1,,1,,,1,1,,1,1,1,1,,1,,1,1,,1,,,
208,05/04/2007,1,,1,1,,1,1,,1,1,1,1,,1,1,1,,,1,,,,1,1,
209,09/04/2007,1,,1,,1,1,1,,1,1,,,,1,1,,,1,1,,1,1,,1,1
210,12/04/2007,,,1,,1,,1,,1,1,1,,1,1,1,1,,1,,,1,1,1,1,
211,16/04/2007,1,1,,1,,1,,1,,1,1,1,,1,,1,1,1,,,,1,,1,1
212,19/04/2007,1,,1,1,,1,,1,1,1,1,1,,1,,1,,,1,1,,1,1,,
213,23/04/2007,1,,1,1,1,,,1,1,1,1,,,,,1,,1,1,,1,,1,1,1
214,26/04/2007,1,1,1,1,,,,,1,,1,,1,1,1,,,1,1,1,,1,,1,1
215,30/04/2007,1,,1,1,1,,1,,1,,1,1,,1,1,,1,1,1,,,,1,,1
216,03/05/2007,,1,1,1,1,1,1,,1,1,1,,1,,,,1,,1,,1,,,1,1
217,07/05/2007,,1,1,1,1,1,1,,1,1,1,1,,,,1,1,,1,,1,,,,1
218,10/05/2007,,1,,,1,,1,1,,,1,1,1,1,1,1,1,,,1,1,1,,,1
219,14/05/2007,,1,1,,,1,,1,1,,1,,,1,,1,1,1,1,,,1,1,1,1
220,17/05/2007,,,,,1,,,,1,1,,1,1,1,1,1,1,1,,1,1,,1,1,1
221,21/05/2007,1,1,1,,,1,1,1,,1,,1,,,,1,1,,1,1,1,,1,,1
222,24/05/2007,1,,1,1,1,1,1,1,1,,,1,,,1,,,1,,,1,1,1,1,
223,28/05/2007,,1,,1,,,1,,1,1,1,1,1,1,,1,,,,1,1,1,1,1,
224,31/05/2007,,,,1,,1,,1,1,1,1,1,1,,1,,,1,1,1,1,,1,1,
225,04/06/2007,1,1,1,,1,,1,1,,,,,1,1,1,,,1,1,1,,1,1,,1
226,08/06/2007,,,,1,1,,,1,,1,1,,1,1,1,1,1,1,1,1,1,,,,1
227,11/06/2007,1,,,,1,,1,1,1,1,,1,,1,1,,1,1,1,1,1,1,,,
228,14/06/2007,,1,,1,,,,,,1,1,1,1,1,1,1,1,1,1,1,,,,1,1
229,18/06/2007,,1,,,,1,,1,1,1,1,1,1,1,1,1,1,,,1,,,1,,1
230,21/06/2007,1,1,1,1,1,1,,1,,1,1,,1,1,1,,1,,,,,1,,1,
231,25/06/2007,1,1,,,1,1,1,,,1,,1,,,1,1,1,1,1,,1,,,1,1
232,28/06/2007,,,,1,1,1,,,1,,1,1,1,1,,1,1,1,,,1,,1,1,1
233,02/07/2007,1,1,1,1,1,1,1,1,1,,,1,1,1,,,1,,1,,1,,,,
234,05/07/2007,1,1,1,1,1,,,,1,,1,1,1,1,1,,1,,,,1,1,,1,
235,09/07/2007,1,,,,,,,1,,1,,1,1,1,1,1,1,1,1,,1,,1,1,1
236,12/07/2007,1,,1,1,1,,1,1,1,,,1,1,,1,1,,,,,1,1,1,,1
237,16/07/2007,,,,1,1,1,1,,1,,,1,1,,1,1,,1,1,1,1,1,1,,
238,19/07/2007,1,,1,1,,1,,,,,1,1,1,1,1,,1,,1,1,1,,1,1,
239,23/07/2007,1,,1,,1,1,1,,1,1,,,1,1,1,1,,,1,,,1,1,,1
240,26/07/2007,1,1,,1,,,,,1,1,1,,1,1,1,1,,1,1,,1,1,1,,
241,30/07/2007,,,1,1,1,,,1,1,,,1,1,1,1,,1,,,1,1,,1,1,1
242,02/08/2007,,1,,,1,1,,1,1,,,,1,1,1,1,1,1,1,,1,1,1,,
243,06/08/2007,1,1,1,1,1,,1,,,,,1,1,,,1,1,1,,1,1,,1,,1
244,09/08/2007,,,1,,1,1,1,,1,1,1,1,,1,1,,,1,,1,1,1,,1,
245,13/08/2007,1,1,,,,1,1,,1,1,1,1,,1,1,1,,1,1,,,,,1,1
246,16/08/2007,1,,,1,1,,1,1,1,1,,1,1,,1,,1,1,,,1,,,1,1
247,20/08/2007,1,1,1,1,,,1,1,1,,,,,1,1,1,1,,1,,,1,1,,1
248,23/08/2007,1,1,,,1,,,1,1,1,1,1,1,,1,1,,,1,1,1,,,,1
249,27/08/2007,,,,1,1,,1,1,1,1,,1,,1,1,,1,1,,,1,1,1,,1
250,30/08/2007,1,1,1,,1,,,,1,1,,1,1,,1,1,1,1,1,,1,,1,,
251,03/09/2007,,,1,1,1,1,,,1,1,,,1,,1,1,,1,1,,1,1,1,,1
252,06/09/2007,,1,1,1,,1,,1,,,1,,,1,1,,1,1,1,,,1,1,1,1
253,10/09/2007,1,,,1,1,1,1,1,,,1,1,1,,1,,,1,1,,1,1,1,,
254,13/09/2007,,1,1,1,1,1,1,1,1,,1,,1,1,1,1,,,,1,,,1,,
255,17/09/2007,1,1,1,1,,1,,,1,1,,,,1,1,1,1,,,,1,1,1,1,
256,20/09/2007,1,1,,,,1,1,1,1,1,,1,1,,1,1,,1,,1,,1,,1,
257,24/09/2007,1,,1,,,1,1,,1,1,,1,1,1,,1,1,1,1,,,1,,1,
258,27/09/2007,,1,,1,1,1,,,1,,,1,1,1,,,1,,1,1,1,1,,1,1
259,01/10/2007,,,1,,1,1,1,1,1,1,,,,,1,,,1,1,1,1,1,,1,1
260,04/10/2007,1,,1,1,1,1,1,1,1,,1,,1,1,,,,1,1,1,,,,1,
261,08/10/2007,1,1,,1,1,1,1,,,,1,,1,,1,1,1,,1,1,1,,,,1
262,11/10/2007,,,1,1,,1,1,1,1,,,1,1,1,1,,1,,,1,1,,1,1,
263,15/10/2007,1,,,1,,,1,1,1,1,1,,,1,1,1,,1,1,,1,,1,1,
264,18/10/2007,1,,1,1,,1,,1,1,,,1,1,,,1,,,1,1,1,1,1,,1
265,22/10/2007,1,,,,1,,1,1,,,1,1,1,,1,1,1,1,1,1,,1,,1,
266,25/10/2007,1,,1,1,1,1,1,,1,,1,,,1,1,,,1,1,,1,1,,1,
267,29/10/2007,,1,1,1,1,1,,,1,,1,1,1,1,1,,1,,,,1,,1,1,
268,01/11/2007,,,,,1,1,1,1,1,1,,1,,1,1,1,,1,1,1,,,1,,1
269,05/11/2007,1,1,,1,,1,,,,1,,,1,1,1,1,1,1,1,,,1,1,1,
270,08/11/2007,1,,1,1,1,1,1,1,1,,,,,1,,1,,1,1,,,,1,1,1
271,12/11/2007,1,1,,1,1,1,,1,,,1,1,,,,1,,1,1,1,1,,,1,1
272,16/11/2007,1,1,,1,1,,,1,1,,1,1,1,,1,,1,,,1,,,1,1,1
273,19/11/2007,1,,,,1,1,1,,,1,,1,,,1,1,1,1,1,1,1,,,1,1
274,22/11/2007,,1,,1,1,1,1,,,1,1,1,,1,1,,1,,,1,1,,1,,1
275,26/11/2007,1,,1,,1,1,,1,1,1,1,1,,1,1,,1,1,,1,,1,,,
276,29/11/2007,,1,1,1,1,,1,,,1,1,1,1,,,,1,1,1,1,,1,,,1
277,03/12/2007,,1,,1,,,,,1,1,1,1,1,1,,1,1,,,,1,1,1,1,1
278,06/12/2007,1,1,1,,1,1,,,1,,1,1,1,,1,,1,,1,,1,,1,,1
